Ticker,Company Name,Weighted Sharpe,Weighted Sortino,1-Year ROC %,Weighted ROC %,Sharpe + ROC Blend,Sortino + ROC Blend,Master Blend,1-Year Max Drawdown %,Last Close,200-Day MA,Trend Check,Alpha (1Y),Beta (1Y),Dist. from 52W High %,Avg Turnover (Cr),14-Day RSI
ANGELONE,Angel One Limited,0.16,0.41,40.29,16.18,0.89,1.01,0.73,-24.51,305.0,284.23,Pass (Up),51.85,1.7,-13.77,199.38,53.49
ANIKINDS,Anik Industries Limited,0.19,0.19,-40.38,-3.48,-0.08,-0.08,0.01,-59.16,44.66,45.86,Fail (Down),-34.68,1.28,-44.51,0.03,44.86
ANKITMETAL,Ankit Metal & Power Limited,0.15,0.15,-15.26,-0.79,0.04,0.04,0.08,-38.86,1.61,1.62,Fail (Down),-7.73,0.31,-23.7,0.0,48.2
ANMOL,Anmol India Limited,1.84,4.04,3.75,35.77,2.71,3.81,3.15,-47.79,16.87,11.77,Pass (Up),19.51,0.83,0.0,0.24,50.55
ANNAPURNA,Annapurna Swadisht Limited,-0.25,-0.28,-44.74,-13.64,-0.81,-0.82,-0.63,-55.64,137.95,167.44,Fail (Down),-44.34,0.95,-50.4,0.81,44.34
ANSALAPI,Ansal Properties & Infrastructure Limited,-0.41,-0.4,-33.73,-6.41,-0.52,-0.52,-0.48,-50.49,3.34,3.4,Fail (Down),-37.62,0.22,-34.64,0.01,43.58
ANTELOPUS,Antelopus Selan Energy Limited,2.53,3.2,103.62,100.24,6.28,6.61,5.25,-38.64,1139.35,661.33,Pass (Up),92.72,-0.47,-2.57,124.73,56.05
ANTGRAPHIC,Antarctica Limited,-0.5,-0.5,-30.56,-11.75,-0.84,-0.84,-0.72,-39.29,0.75,0.84,Fail (Down),-25.98,0.62,-33.04,0.01,45.6
ANTHEM,Anthem Biosciences Limited,2.51,3.25,14.92,31.55,2.83,3.2,2.97,-31.47,940.9,734.36,Pass (Up),21.91,0.59,-1.76,65.34,52.35
ANUHPHR,Anuh Pharma Limited,1.45,2.0,11.53,21.52,1.8,2.08,1.87,-25.88,94.86,77.33,Pass (Up),21.31,0.69,-1.94,1.02,51.67
ANUP,The Anup Engineering Limited,-0.56,-0.51,-26.8,-11.07,-0.83,-0.81,-0.73,-42.85,1664.3,1965.56,Fail (Down),-13.6,1.54,-33.97,10.06,46.78
ANURAS,Anupam Rasayan India Limited,-0.55,-0.53,11.32,-2.5,-0.4,-0.39,-0.44,-13.02,1219.4,1280.29,Fail (Down),15.95,0.33,-11.38,37.05,51.93
APARINDS,Apar Industries Limited,1.91,2.06,107.29,61.86,4.05,4.12,3.38,-26.38,17500.0,11971.36,Pass (Up),92.06,1.28,-2.44,247.22,57.55
