Ticker,Company Name,Weighted Sharpe,Weighted Sortino,1-Year ROC %,Weighted ROC %,Sharpe + ROC Blend,Sortino + ROC Blend,Master Blend,1-Year Max Drawdown %,Last Close,200-Day MA,Trend Check,Alpha (1Y),Beta (1Y),Dist. from 52W High %,Avg Turnover (Cr),14-Day RSI
KILITCH,Kilitch Drugs (India) Limited,0.51,0.52,1.58,6.48,0.58,0.58,0.56,-37.81,185.97,169.52,Pass (Up),17.71,1.09,-9.51,0.97,50.18
KIMS,Krishna Institute of Medical Sciences Limited,0.53,0.54,0.86,9.29,0.73,0.73,0.67,-23.65,768.95,714.95,Pass (Up),10.02,0.78,-9.6,45.55,50.13
KINGFA,Kingfa Science & Technology (India) Limited,2.55,3.12,30.94,40.07,3.28,3.57,3.23,-21.91,6197.0,4775.74,Pass (Up),36.89,0.56,-0.49,7.86,53.8
KIOCL,KIOCL Limited,-0.41,-0.41,-21.92,-0.93,-0.25,-0.25,-0.3,-52.69,355.9,370.82,Fail (Down),0.12,1.86,-43.29,6.28,47.79
KIRIINDUS,Kiri Industries Limited,1.71,1.87,-6.6,25.08,2.11,2.19,2.03,-53.36,537.35,452.6,Pass (Up),14.05,1.43,-25.91,42.72,49.29
KIRLOSBROS,Kirloskar Brothers Limited,0.52,0.63,-9.59,6.5,0.59,0.64,0.6,-35.69,1784.0,1699.94,Pass (Up),3.25,1.21,-14.0,32.7,48.68
KIRLOSENG,Kirloskar Oil Engines Limited,1.6,2.22,146.84,54.05,3.5,3.81,3.08,-20.67,2168.6,1671.63,Pass (Up),108.91,1.04,-15.23,186.41,58.02
KIRLOSIND,Kirloskar Industries Limited,1.28,2.05,1.08,21.74,1.73,2.11,1.83,-41.5,3828.3,3325.06,Pass (Up),17.94,1.49,-10.94,15.57,50.14
KIRLPNU,Kirloskar Pneumatic Company Limited,0.42,0.51,15.45,14.89,0.96,1.0,0.81,-31.35,719.9,675.39,Pass (Up),25.82,0.85,-30.84,35.87,51.75
KITEX,Kitex Garments Limited,-1.74,-1.7,-38.15,-27.01,-2.22,-2.2,-2.05,-44.51,123.87,163.86,Fail (Down),-25.03,1.95,-44.41,10.21,45.99
KKCL,Kewal Kiran Clothing Limited,0.56,0.59,-6.71,1.81,0.37,0.39,0.44,-29.96,494.9,481.83,Pass (Up),4.37,1.11,-15.72,2.75,49.09
KMEW,Knowledge Marine & Engineering Works Limited,2.52,3.16,207.85,76.96,5.11,5.43,4.46,-25.11,2869.2,2006.23,Pass (Up),142.57,1.53,-8.93,30.65,57.32
KMSUGAR,K.M.Sugar Mills Limited,0.97,1.23,8.18,14.62,1.22,1.34,1.22,-21.19,30.41,27.36,Pass (Up),15.94,0.42,-13.85,0.87,51.14
KNAGRI,KN Agri Resources Limited,-0.0,-0.01,-11.09,-2.72,-0.14,-0.14,-0.09,-37.41,193.74,195.23,Fail (Down),3.23,0.42,-19.26,0.31,48.87
KNRCON,KNR Constructions Limited,-0.13,-0.15,-36.05,-6.96,-0.41,-0.42,-0.33,-47.73,125.66,133.47,Fail (Down),-31.44,1.12,-40.08,17.77,44.44
KOHINOOR,Kohinoor Foods Limited,1.02,1.76,-10.22,17.42,1.38,1.75,1.51,-42.49,30.85,25.83,Pass (Up),4.44,1.08,-15.69,0.64,48.36
KOKUYOCMLN,Kokuyo Camlin Limited,-0.55,-0.58,-33.1,-9.03,-0.72,-0.74,-0.68,-39.0,77.91,85.37,Fail (Down),-29.47,1.06,-33.1,0.33,44.24
KOLTEPATIL,Kolte - Patil Developers Limited,1.41,1.74,-4.99,19.05,1.66,1.82,1.68,-36.81,436.85,379.06,Pass (Up),4.25,0.68,-15.44,16.24,49.2
KOPRAN,Kopran Limited,2.32,3.19,33.6,64.43,4.38,4.82,3.98,-40.88,235.26,160.16,Pass (Up),49.43,1.44,-1.77,4.47,53.44
KOTAKBANK,Kotak Mahindra Bank Limited,0.66,0.65,6.4,5.47,0.6,0.6,0.62,-20.61,419.0,400.0,Pass (Up),14.64,1.02,-5.71,550.75,51.29
KOTARISUG,Kothari Sugars And Chemicals Limited,0.69,0.95,-10.24,7.21,0.71,0.84,0.79,-30.12,28.57,26.38,Pass (Up),0.02,0.68,-27.04,0.6,48.52
KOTHARIPET,Kothari Petrochemicals Limited,1.03,1.25,-12.18,13.98,1.22,1.33,1.23,-40.15,138.57,125.82,Pass (Up),0.93,1.14,-12.18,1.64,48.33
KOTHARIPRO,Kothari Products Limited,-0.37,-0.38,-14.85,-5.0,-0.43,-0.44,-0.42,-39.99,65.78,69.82,Fail (Down),0.44,0.96,-32.23,0.06,48.32
KOTYARK,Kotyark Industries Limited,0.1,0.14,20.49,4.17,0.26,0.28,0.22,-41.26,32.19,30.66,Pass (Up),32.99,-0.07,-28.42,0.95,51.47
KPEL,K.P. Energy Limited,-2.77,-2.68,-48.3,-35.02,-3.14,-3.09,-2.98,-53.18,214.91,317.12,Fail (Down),-49.23,1.48,-53.18,8.05,44.0
KPIGREEN,KPI Green Energy Limited,-2.89,-2.53,-41.3,-31.38,-3.01,-2.83,-2.85,-47.66,281.7,401.5,Fail (Down),-37.84,1.46,-47.66,31.35,44.79
KPIL,Kalpataru Projects International Limited,1.48,1.69,11.93,17.74,1.63,1.73,1.65,-22.55,1435.7,1229.5,Pass (Up),20.36,0.86,0.0,38.14,51.83
KPITTECH,KPIT Technologies Limited,-1.72,-1.53,-55.63,-30.31,-2.37,-2.28,-2.09,-57.78,553.75,800.39,Fail (Down),-68.86,1.0,-56.99,206.16,40.13
KPRMILL,K.P.R. Mill Limited,0.8,1.04,11.9,16.04,1.2,1.32,1.15,-28.6,1109.1,984.07,Pass (Up),24.76,0.86,-8.77,76.67,51.36
KRBL,KRBL Limited,1.2,1.49,-5.01,14.98,1.35,1.49,1.39,-37.07,421.05,364.24,Pass (Up),10.23,1.36,-5.89,24.52,49.32
KREBSBIO,Krebs Biochemicals and Industries Limited,-0.21,-0.19,-24.48,-6.63,-0.44,-0.42,-0.35,-50.29,58.72,59.62,Fail (Down),-9.61,1.18,-26.56,0.06,47.13
KRIDHANINF,Kridhan Infra Limited,-2.73,-2.26,-49.74,-36.81,-3.2,-2.97,-2.89,-58.19,1.96,3.01,Fail (Down),-49.88,0.96,-56.64,0.01,44.75
KRISHANA,Krishana Phoschem Limited,2.26,2.26,55.23,58.55,4.06,4.06,3.46,-23.53,179.66,128.1,Pass (Up),61.55,1.08,-12.43,23.22,55.15
KRISHIVAL,Krishival Foods Limited,0.92,0.75,-6.38,9.33,0.93,0.84,0.87,-38.49,419.95,373.15,Pass (Up),2.48,0.51,-16.48,0.97,48.91
KRISHNADEF,Krishna Defence And Allied Industries Limited,0.02,0.06,40.17,10.03,0.51,0.53,0.36,-30.65,1065.5,1042.46,Pass (Up),55.22,1.15,-22.16,17.44,52.47
KRITI,Kriti Industries (India) Limited,-1.32,-1.33,-54.09,-23.08,-1.81,-1.82,-1.65,-64.24,61.4,75.95,Fail (Down),-57.66,1.2,-59.84,0.11,42.66
KRITIKA,Kritika Wires Limited,-0.83,-1.06,-41.37,-16.27,-1.23,-1.35,-1.17,-50.49,5.4,6.21,Fail (Down),-38.57,1.41,-41.37,0.08,42.16
KRITINUT,Kriti Nutrients Limited,0.4,0.58,-15.01,8.46,0.63,0.71,0.61,-44.5,80.52,78.18,Pass (Up),3.7,1.46,-19.46,0.14,48.29
KRN,KRN Heat Exchanger and Refrigeration Limited,2.59,3.16,85.86,68.0,4.69,4.98,4.18,-32.32,1593.6,1055.39,Pass (Up),83.46,1.47,-4.01,22.05,56.27
KRONOX,Kronox Lab Sciences Limited,1.14,1.55,3.05,27.85,1.96,2.17,1.82,-44.79,175.92,139.78,Pass (Up),23.86,1.44,-18.01,14.24,50.36
KROSS,Kross Limited,1.8,2.09,10.22,28.4,2.32,2.46,2.24,-31.11,239.07,193.25,Pass (Up),30.07,1.47,0.0,21.08,51.08
KRSNAA,Krsnaa Diagnostics Limited,-0.36,-0.37,-34.48,-10.07,-0.68,-0.69,-0.58,-39.93,550.05,615.37,Fail (Down),-33.58,0.93,-36.5,3.58,43.96
KRYSTAL,Krystal Integrated Services Limited,0.69,0.93,-5.94,6.32,0.66,0.78,0.75,-24.29,614.45,586.23,Pass (Up),5.62,0.71,-9.6,2.25,49.08
KSB,Ksb Limited,-0.04,-0.01,-0.89,1.23,0.04,0.05,0.02,-22.72,804.2,811.83,Fail (Down),7.74,0.75,-19.19,13.0,49.87
KSCL,Kaveri Seed Company Limited,-1.41,-1.82,-37.83,-19.0,-1.65,-1.86,-1.71,-40.25,715.85,871.66,Fail (Down),-37.57,0.9,-40.14,18.88,43.73
KSHITIJPOL,Kshitij Polyline Limited,-0.66,-0.64,10.83,9.43,0.14,0.15,-0.12,-67.04,3.48,3.13,Pass (Up),29.98,0.36,-51.6,0.56,50.72
KSL,Kalyani Steels Limited,1.84,1.97,20.34,32.52,2.55,2.61,2.36,-34.62,968.75,782.56,Pass (Up),32.42,1.18,0.0,7.34,52.57
KSOLVES,Ksolves India Limited,-0.64,-0.69,-17.68,-10.05,-0.82,-0.84,-0.78,-25.1,258.1,283.47,Fail (Down),-4.31,1.39,-25.1,2.39,47.73
KTKBANK,The Karnataka Bank Limited,2.25,2.69,87.16,42.69,3.26,3.48,3.07,-17.07,325.35,247.18,Pass (Up),76.15,1.07,-4.34,76.19,58.45
KUANTUM,Kuantum Papers Limited,0.12,0.16,-30.24,-4.32,-0.16,-0.14,-0.05,-42.5,76.43,79.88,Fail (Down),-25.0,1.16,-31.12,0.94,44.52
LAGNAM,Lagnam Spintex Limited,-0.39,-0.35,-14.06,-2.52,-0.32,-0.3,-0.33,-33.14,72.56,75.78,Fail (Down),1.07,1.15,-19.72,0.1,48.3
LAKPRE,Lakshmi Precision Screws Limited,1.17,1.17,6.95,21.34,1.65,1.65,1.49,-36.28,6.0,5.15,Pass (Up),24.56,0.25,-10.04,0.0,50.51
LAL,Lorenzini Apparels Limited,1.24,1.57,-23.81,13.81,1.31,1.48,1.4,-48.98,8.83,8.09,Pass (Up),-13.66,0.82,-25.04,0.08,46.52
LALPATHLAB,Dr. Lal Path Labs Ltd.,2.2,2.81,17.41,27.63,2.48,2.79,2.59,-24.35,1909.0,1557.67,Pass (Up),23.69,0.54,-3.02,82.62,52.8
LAMBODHARA,Lambodhara Textiles Limited,1.44,2.23,8.32,26.73,2.05,2.45,2.11,-45.36,137.37,112.42,Pass (Up),29.09,1.27,-9.73,0.55,50.88
LANCORHOL,Lancor Holdings Limited,2.11,2.87,60.61,62.3,4.17,4.55,3.74,-43.5,36.95,25.72,Pass (Up),71.87,1.14,-8.43,0.8,54.18
LANDMARK,Landmark Cars Limited,0.95,1.46,-24.09,12.99,1.12,1.38,1.24,-46.92,487.95,445.06,Pass (Up),-12.84,0.92,-25.89,49.92,46.68
LANDSMILL,Landsmill Green Limited,-3.37,-2.99,-65.43,-45.36,-3.95,-3.76,-3.63,-67.44,0.56,1.01,Fail (Down),-93.2,0.72,-67.44,0.2,41.87
LAOPALA,La Opala RG Limited,-1.24,-1.33,-34.11,-15.19,-1.38,-1.42,-1.36,-35.4,158.93,182.86,Fail (Down),-34.52,0.8,-35.4,5.49,42.96
LASA,Lasa Supergenerics Limited,-0.89,-0.95,-43.65,-19.12,-1.4,-1.43,-1.25,-59.27,6.52,8.11,Fail (Down),-44.52,0.81,-53.16,0.02,44.75
LATENTVIEW,Latent View Analytics Limited,-1.25,-1.3,-40.0,-23.53,-1.8,-1.82,-1.63,-50.29,252.45,341.3,Fail (Down),-35.01,1.22,-49.72,26.84,45.27
LATTEYS,Latteys Industries Limited,0.23,0.32,3.71,0.01,0.11,0.16,0.18,-54.24,21.8,21.76,Pass (Up),23.05,0.7,-36.87,0.12,50.27
LAURUSLABS,Laurus Labs Limited,4.06,4.9,120.25,76.85,5.87,6.29,5.55,-16.27,1969.0,1290.54,Pass (Up),89.88,0.81,0.0,471.86,62.68
LAXMICOT,Laxmi Cotspin Limited,-0.53,-0.65,-47.79,-17.04,-1.12,-1.18,-0.96,-52.04,12.89,15.35,Fail (Down),-46.19,0.81,-47.96,0.03,43.82
LAXMIDENTL,Laxmi Dental Limited,-0.68,-0.54,-34.84,-7.01,-0.69,-0.62,-0.64,-56.33,202.84,215.59,Fail (Down),-22.17,1.39,-44.02,2.29,45.53
LAXMIINDIA,Laxmi India Finance Limited,1.09,1.4,-22.69,22.32,1.66,1.82,1.57,-59.26,129.07,112.9,Pass (Up),-1.05,1.64,-26.61,2.03,47.53
LCCINFOTEC,LCC Infotech Limited,-1.33,-1.42,-30.99,-31.15,-2.22,-2.27,-1.95,-44.03,3.14,4.59,Fail (Down),-21.05,-0.04,-44.03,0.03,48.07
LEMERITE,Le Merite Exports Limited,-3.05,-2.64,-70.89,-56.18,-4.34,-4.13,-3.77,-80.6,21.11,65.33,Fail (Down),-110.59,0.44,-79.55,1.27,41.15
LEMONTREE,Lemon Tree Hotels Limited,-0.79,-0.82,-40.08,-11.82,-0.99,-1.0,-0.93,-43.1,104.78,122.4,Fail (Down),-40.72,1.29,-40.63,38.08,42.47
LENSKART,Lenskart Solutions Limited,3.67,4.72,69.13,45.66,4.12,4.64,4.32,-14.56,681.75,513.3,Pass (Up),74.96,0.52,-2.01,503.3,58.59
LEXUS,Lexus Granito (India) Limited,-1.46,-1.57,-54.34,-41.11,-2.79,-2.84,-2.38,-66.72,13.31,21.98,Fail (Down),-59.82,0.6,-65.26,0.05,44.84
LFIC,Lakshmi Finance & Industrial Corporation Limited,-0.11,-0.13,-33.05,-7.91,-0.45,-0.46,-0.34,-48.3,139.35,145.39,Fail (Down),-25.39,0.78,-35.96,0.07,45.19
LGBBROSLTD,LG Balakrishnan & Bros Limited,0.85,0.94,28.89,4.85,0.67,0.71,0.76,-27.38,1711.0,1688.05,Pass (Up),38.73,1.01,-13.6,3.83,52.89
LGEINDIA,LG Electronics India Limited,0.49,0.62,-3.14,3.93,0.44,0.51,0.5,-21.96,1636.8,1544.48,Pass (Up),6.18,0.79,-5.37,117.96,49.42
LGHL,Laxmi Goldorna House Limited,-1.77,-1.89,-49.22,-28.91,-2.33,-2.39,-2.18,-56.28,183.99,246.71,Fail (Down),-55.14,0.8,-53.3,0.44,43.48
LIBAS,Libas Consumer Products Limited,-0.05,-0.05,-14.57,-0.16,-0.03,-0.03,-0.04,-30.8,11.2,10.91,Pass (Up),-8.41,0.4,-18.07,0.04,47.69
LIBERTSHOE,Liberty Shoes Limited,-0.34,-0.47,-31.84,-12.2,-0.78,-0.85,-0.68,-43.38,228.68,255.65,Fail (Down),-24.54,1.3,-39.25,2.23,45.31
LICHSGFIN,LIC Housing Finance Limited,0.77,0.86,2.04,7.97,0.79,0.83,0.81,-22.37,562.9,523.49,Pass (Up),10.97,1.04,-3.24,117.57,50.37
LICI,Life Insurance Corporation Of India,0.26,0.26,-5.7,-0.02,0.13,0.13,0.17,-21.48,404.1,408.54,Fail (Down),3.95,1.13,-10.5,383.46,48.91
LIKHITHA,Likhitha Infrastructure Limited,0.39,0.54,-12.43,14.45,0.92,0.99,0.79,-46.55,217.07,199.98,Pass (Up),6.37,1.26,-19.75,1.54,48.57
LINC,Linc Limited,-0.18,-0.21,-22.95,-8.52,-0.52,-0.53,-0.42,-33.73,95.61,103.44,Fail (Down),-12.37,1.2,-25.68,0.4,46.95
LINCOLN,Lincoln Pharmaceuticals Limited,0.09,0.1,12.28,5.96,0.34,0.35,0.26,-24.53,623.5,581.5,Pass (Up),23.41,0.63,-17.53,3.23,51.51
LINDEINDIA,Linde India Limited,-0.86,-0.93,-3.18,-6.41,-0.75,-0.79,-0.81,-20.51,6227.5,6707.67,Fail (Down),4.74,0.78,-20.51,18.16,49.49
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,1.67,2.2,31.16,46.96,3.18,3.45,2.85,-41.87,82.76,64.89,Pass (Up),50.73,1.97,-14.34,146.07,52.69
LLOYDSENT,Lloyds Enterprises Limited,0.73,0.92,-0.74,17.51,1.24,1.34,1.13,-43.51,69.79,65.24,Pass (Up),23.65,1.91,-16.42,36.21,49.93
LLOYDSME,Lloyds Metals And Energy Limited,1.39,1.53,38.19,29.9,2.19,2.26,1.97,-20.95,1799.6,1553.84,Pass (Up),47.5,1.33,-14.35,93.88,54.14
LMW,LMW Limited,1.31,1.75,23.86,17.34,1.52,1.74,1.6,-25.56,17727.0,15460.6,Pass (Up),34.39,1.36,-11.57,9.88,53.18
LODHA,Lodha Developers Limited,1.35,1.46,-4.98,16.86,1.52,1.57,1.5,-45.19,1116.9,1015.87,Pass (Up),11.23,1.76,-14.85,297.36,49.32
LOKESHMACH,Lokesh Machines Limited,2.32,3.01,76.37,63.13,4.32,4.66,3.88,-30.01,347.15,242.54,Pass (Up),76.01,0.92,-4.79,1.17,55.71
LORDSCHLO,Lords Chloro Alkali Limited,0.18,0.18,-22.84,-0.66,0.05,0.06,0.1,-51.61,137.67,143.52,Fail (Down),-10.32,1.18,-38.92,0.26,47.42
LOTUSDEV,Sri Lotus Developers and Realty Limited,2.47,3.12,17.52,50.99,3.78,4.11,3.56,-48.02,209.27,150.76,Pass (Up),34.71,1.43,0.0,46.68,52.0
LOTUSEYE,Lotus Eye Hospital and Institute Limited,-0.72,-0.72,-5.79,-4.78,-0.6,-0.6,-0.64,-30.53,113.9,115.99,Fail (Down),8.84,0.89,-19.44,0.24,49.42
LOVABLE,Lovable Lingerie Limited,0.16,0.2,-25.85,-3.9,-0.12,-0.09,-0.01,-45.21,71.73,73.98,Fail (Down),-16.37,1.15,-29.46,0.16,46.25
LOYALTEX,Loyal Textile Mills Limited,0.42,0.43,-29.28,2.13,0.32,0.32,0.35,-43.71,213.83,213.28,Pass (Up),-21.64,0.25,-32.75,0.02,46.38
LPDC,Landmark Property Development Company Limited,-0.17,-0.25,-21.13,-7.06,-0.44,-0.48,-0.38,-38.56,6.16,6.73,Fail (Down),-2.64,1.25,-31.56,0.05,47.69
LT,Larsen & Toubro Limited,-0.17,-0.09,12.13,2.39,0.03,0.07,-0.01,-24.35,3930.7,3959.54,Fail (Down),23.26,1.43,-10.16,671.94,52.09
LTF,L&T Finance Limited,0.85,0.91,33.73,11.64,1.01,1.04,0.98,-25.01,309.1,292.28,Pass (Up),45.39,1.65,-7.9,177.14,53.49
LTFOODS,LT Foods Limited,1.29,1.49,-4.73,12.91,1.29,1.39,1.36,-28.66,438.1,398.07,Pass (Up),11.06,1.46,-6.86,57.69,49.32
LTM,LTM Limited,0.18,0.28,-17.81,-4.31,-0.13,-0.07,0.01,-44.04,4275.0,4721.03,Fail (Down),-7.91,1.12,-32.38,199.12,47.39
LTTS,L&T Technology Services Limited,-0.08,-0.06,-19.41,-9.41,-0.51,-0.5,-0.36,-34.51,3337.4,3625.93,Fail (Down),-10.27,0.97,-28.13,50.45,47.23
LUMAXIND,Lumax Industries Limited,0.94,1.16,43.26,16.08,1.27,1.38,1.23,-30.57,5879.5,5423.87,Pass (Up),59.08,1.77,-11.45,10.57,53.03
LUMAXTECH,Lumax Auto Technologies Limited,1.59,2.21,86.57,35.46,2.57,2.88,2.45,-23.17,1993.7,1629.01,Pass (Up),84.36,1.26,-4.08,46.76,55.09
LUPIN,Lupin Limited,-0.73,-0.77,6.15,-4.63,-0.6,-0.62,-0.66,-17.38,2095.0,2247.73,Fail (Down),11.2,0.54,-16.69,208.66,51.22
LUXIND,Lux Industries Limited,-0.67,-0.43,-17.15,0.06,-0.33,-0.21,-0.37,-41.64,1098.6,1172.0,Fail (Down),-0.67,1.51,-37.12,3.97,47.98
LXCHEM,Laxmi Organic Industries Limited,1.07,1.19,-20.8,19.44,1.51,1.57,1.4,-51.57,175.56,154.37,Pass (Up),-6.38,1.52,-21.22,27.56,47.02
LYKALABS,Lyka Labs Limited,1.26,1.42,-17.03,23.06,1.78,1.86,1.66,-55.24,82.9,67.68,Pass (Up),-2.61,1.17,-17.45,0.17,47.62
M&M,Mahindra & Mahindra Limited,0.08,0.09,-12.68,-3.09,-0.12,-0.11,-0.05,-22.91,3107.0,3291.33,Fail (Down),-1.74,1.45,-17.43,740.13,47.83
M&MFIN,Mahindra & Mahindra Financial Services Limited,1.23,1.92,34.13,17.61,1.49,1.84,1.63,-31.82,356.15,338.78,Pass (Up),47.19,1.58,-13.62,158.53,52.95
MAANALU,Maan Aluminium Limited,-0.92,-0.96,-1.48,-14.91,-1.2,-1.23,-1.12,-35.43,110.4,136.68,Fail (Down),16.56,1.27,-35.43,0.74,49.89
MACPOWER,Macpower CNC Machines Limited,2.96,5.14,104.61,92.55,6.11,7.2,5.79,-25.94,1843.0,1158.81,Pass (Up),93.13,1.13,-8.18,9.01,57.4
MADHAV,Madhav Marbles and Granites Limited,0.04,0.05,-21.7,-4.76,-0.22,-0.21,-0.13,-36.03,36.29,37.2,Fail (Down),-10.56,0.94,-21.84,0.02,47.31
MADHUCON,Madhucon Projects Limited,-0.99,-1.04,-36.55,-21.82,-1.58,-1.61,-1.4,-54.72,4.34,5.34,Fail (Down),-30.89,0.79,-47.46,0.02,46.4
MADRASFERT,Madras Fertilizers Limited,-0.83,-0.93,-32.11,-12.78,-1.06,-1.1,-1.01,-42.61,61.83,69.38,Fail (Down),-25.6,1.41,-33.13,0.68,44.5
MAGADSUGAR,Magadh Sugar & Energy Limited,1.33,1.64,-1.82,18.4,1.59,1.74,1.6,-29.82,543.8,477.54,Pass (Up),7.0,0.51,-12.38,2.46,49.75
MAGNUM,Magnum Ventures Limited,-0.64,-0.7,-33.7,-11.36,-0.89,-0.92,-0.83,-42.24,18.73,20.67,Fail (Down),-25.66,1.1,-35.26,0.05,45.03
MAHABANK,Bank of Maharashtra,0.85,0.96,58.89,24.18,1.63,1.69,1.41,-18.93,84.2,72.82,Pass (Up),61.99,1.45,-10.28,131.81,55.48
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,0.43,0.61,-45.64,-8.06,-0.19,-0.1,0.08,-60.94,54.57,66.96,Fail (Down),-22.61,1.38,-51.03,0.12,44.95
MAHASTEEL,Mahamaya Steel Industries Limited,2.38,2.35,228.51,66.6,4.52,4.51,3.8,-32.23,1276.1,891.78,Pass (Up),133.02,0.09,-8.46,1.46,59.29
MAHEPC,Mahindra EPC Irrigation Limited,-0.9,-0.85,-35.13,-14.5,-1.18,-1.15,-1.07,-41.85,101.82,116.82,Fail (Down),-30.85,1.25,-36.14,0.41,44.11
MAHESHWARI,Maheshwari Logistics Limited,1.43,1.71,12.54,33.56,2.39,2.53,2.17,-36.83,70.71,56.31,Pass (Up),21.74,0.45,-5.67,0.14,52.07
MAHLIFE,Mahindra Lifespace Developers Limited,0.37,0.34,-2.2,-0.11,0.18,0.16,0.23,-30.22,353.05,359.91,Fail (Down),7.98,0.92,-15.48,8.53,49.69
MAHLOG,Mahindra Logistics Limited,1.14,1.42,21.4,15.89,1.37,1.51,1.38,-24.98,397.2,367.94,Pass (Up),34.59,1.38,-9.7,11.52,52.34
MAHSCOOTER,Maharashtra Scooters Limited,0.27,0.36,-25.37,-2.09,0.03,0.08,0.14,-37.84,12964.0,13086.91,Fail (Down),-18.6,1.21,-27.11,4.99,45.2
MAHSEAMLES,Maharashtra Seamless Limited,1.97,2.34,16.48,26.23,2.29,2.48,2.31,-20.66,728.9,581.61,Pass (Up),22.94,0.75,0.0,15.23,52.99
MAITHANALL,Maithan Alloys Limited,0.39,0.43,-6.01,4.1,0.4,0.42,0.41,-29.46,1045.85,987.17,Pass (Up),8.31,1.25,-10.41,9.05,49.22
MALLCOM,Mallcom (India) Limited,-0.51,-0.56,-26.12,-13.16,-0.91,-0.94,-0.8,-36.92,952.15,1072.62,Fail (Down),-16.7,1.21,-35.99,0.41,46.85
MALUPAPER,Malu Paper Mills Limited,0.47,0.57,-9.39,3.46,0.41,0.46,0.46,-35.12,34.53,32.8,Pass (Up),4.14,0.92,-17.45,0.13,48.73
MAMATA,Mamata Machinery Limited,0.75,0.82,-11.81,5.16,0.64,0.67,0.7,-40.08,407.85,401.24,Pass (Up),0.8,1.17,-18.23,2.7,48.32
MANAKALUCO,Manaksia Aluminium Company Limited,0.38,0.5,27.01,21.39,1.26,1.32,1.01,-66.49,36.87,34.09,Pass (Up),54.57,1.27,-43.17,0.51,51.48
MANAKCOAT,Manaksia Coated Metals & Industries Limited,1.12,1.14,-10.85,8.32,0.98,0.98,1.03,-46.36,128.53,118.42,Pass (Up),4.9,1.13,-28.69,6.41,48.82
MANAKSIA,Manaksia Limited,1.56,2.3,1.76,19.63,1.76,2.13,1.94,-40.4,70.95,59.51,Pass (Up),16.68,1.35,-0.59,0.26,50.24
MANAKSTEEL,Manaksia Steels Limited,3.13,4.2,89.35,92.52,6.19,6.72,5.53,-40.23,117.91,68.72,Pass (Up),87.13,1.21,0.0,1.02,56.59
MANALIPETC,Manali Petrochemicals Limited,1.92,2.73,20.21,47.87,3.35,3.76,3.14,-47.23,84.93,60.69,Pass (Up),37.03,1.41,-5.72,31.87,52.36
MANAPPURAM,Manappuram Finance Limited,0.96,1.02,15.47,15.4,1.25,1.28,1.17,-21.37,329.0,306.75,Pass (Up),27.5,1.25,-11.27,182.12,51.9
MANBA,Manba Finance Limited,0.61,0.64,-3.3,2.99,0.45,0.47,0.52,-30.31,132.47,125.78,Pass (Up),5.33,0.8,-9.33,2.29,49.45
MANCREDIT,Mangal Credit and Fincorp Limited,0.81,1.04,18.87,19.87,1.4,1.51,1.28,-18.09,219.9,190.56,Pass (Up),27.1,0.5,-14.26,8.5,52.26
MANGALAM,Mangalam Drugs And Organics Limited,1.24,1.77,-52.78,17.02,1.47,1.73,1.57,-69.2,36.46,30.3,Pass (Up),-60.5,0.42,-52.78,0.14,40.61
MANGLMCEM,Mangalam Cement Limited,1.9,2.38,41.78,27.84,2.34,2.58,2.35,-16.82,1028.0,862.08,Pass (Up),45.36,0.93,-6.39,12.91,55.7
MANINDS,Man Industries (India) Limited,2.86,4.36,112.98,86.63,5.76,6.51,5.29,-35.93,866.1,494.77,Pass (Up),104.55,2.01,-1.18,60.06,57.67
MANINFRA,Man Infraconstruction Limited,1.0,1.3,-17.69,16.77,1.34,1.49,1.32,-50.39,126.87,111.54,Pass (Up),-5.0,1.21,-19.27,23.68,47.31
MANKIND,Mankind Pharma Limited,-0.12,-0.14,-12.27,-0.32,-0.08,-0.09,-0.1,-27.56,2280.0,2282.88,Fail (Down),-6.34,0.71,-14.31,99.67,47.71
MANOMAY,Manomay Tex India Limited,1.49,1.73,40.18,17.27,1.61,1.73,1.65,-36.22,234.19,209.16,Pass (Up),49.52,0.73,-9.45,2.18,53.41
MANORAMA,Manorama Industries Limited,2.13,2.65,54.04,49.0,3.51,3.78,3.23,-30.2,2055.7,1471.73,Pass (Up),62.64,1.55,-3.58,81.52,55.06
MANORG,Mangalam Organics Limited,0.08,0.15,-18.23,-1.84,-0.05,-0.02,0.01,-35.66,466.45,481.54,Fail (Down),-3.9,0.62,-24.76,0.48,48.08
MANUGRAPH,Manugraph India Limited,0.11,0.14,-34.39,-5.76,-0.23,-0.22,-0.11,-57.82,14.96,14.95,Pass (Up),-25.49,0.83,-35.35,0.02,45.53
MANYAVAR,Vedant Fashions Limited,2.17,3.88,-19.79,33.46,2.76,3.61,3.13,-55.1,582.35,465.96,Pass (Up),-11.27,0.97,-22.44,57.2,46.2
MAPMYINDIA,C.E. Info Systems Limited,-0.04,0.02,-43.57,-12.0,-0.62,-0.59,-0.41,-58.9,925.8,1127.33,Fail (Down),-42.18,1.14,-52.36,61.35,43.71
MARALOVER,Maral Overseas Limited,1.23,1.59,27.68,28.93,2.06,2.24,1.9,-33.34,62.41,49.04,Pass (Up),43.39,1.12,-5.2,0.12,52.55
